ID,SEQUENCE,POS,PROJECT,FILE
394,failure description,NN NN,elasticsearch,RepositoriesService.java
395,test parse id alone,VB VB NN RB,elasticsearch,MappingMetaDataParserTests.java
396,test fail if id is no value,VB NN IN NN VBZ DT NN,elasticsearch,MappingMetaDataParserTests.java
397,test parse routing alone,VB VB NN RB,elasticsearch,MappingMetaDataParserTests.java
398,test parse timestamp alone,VB VB NN RB,elasticsearch,MappingMetaDataParserTests.java
399,test parse timestamp equals,VB VB NN VBZ,elasticsearch,MappingMetaDataParserTests.java
400,test parse id and routing and timestamp,VB VB NN CC NN CC NN,elasticsearch,MappingMetaDataParserTests.java
401,test parse id and routing and timestamp with path,VB VB NN CC NN CC NN IN NN,elasticsearch,MappingMetaDataParserTests.java
402,test parse id with path,VB VB NN IN NN,elasticsearch,MappingMetaDataParserTests.java
403,test parse routing with path,VB VB NN IN NN,elasticsearch,MappingMetaDataParserTests.java
404,test parse timestamp with path,VB VB NN IN NN,elasticsearch,MappingMetaDataParserTests.java
405,test parse id and routing and timestamp within same path,VB VB NN CC NN CC NN IN JJ NN,elasticsearch,MappingMetaDataParserTests.java
406,test parse id and routing and timestamp within same path and more levels,VB VB NN CC NN CC NN IN JJ NN CC JJR NNS,elasticsearch,MappingMetaDataParserTests.java
407,test parse id and routing and timestamp with same repeated object,VB VB NN CC NN CC NN IN JJ JJ NN,elasticsearch,MappingMetaDataParserTests.java
408,test parse id routing timestamp with repeated field,VB VB NN VBG NN IN JJ NN,elasticsearch,MappingMetaDataParserTests.java
409,test parse no id routing with repeated field and object,VB VB DT NN NN IN JJ NN CC NN,elasticsearch,MappingMetaDataParserTests.java
410,test parse routing with repeated field and valid routing,VB VB NN IN JJ NN CC JJ NN,elasticsearch,MappingMetaDataParserTests.java
411,get ordinals values,VB NNS NNS,elasticsearch,SortedSetDVBytesAtomicFieldData.java
412,ram bytes used,NNP NNS VBN,elasticsearch,SortedSetDVBytesAtomicFieldData.java
413,get child resources,VB NN NNS,elasticsearch,SortedSetDVBytesAtomicFieldData.java
414,get suggestion,VB NN,elasticsearch,Suggest.java
415,read suggest,VB NN,elasticsearch,Suggest.java
416,add term,VB NN,elasticsearch,Suggest.java
417,get entries,VB NNS,elasticsearch,Suggest.java
418,sort comparator,VB NN,elasticsearch,Suggest.java
419,new entry,JJ NN,elasticsearch,Suggest.java
420,inner read from,JJ VB IN,elasticsearch,Suggest.java
421,inner write to,JJ VB TO,elasticsearch,Suggest.java
422,get text,VB NN,elasticsearch,Suggest.java
423,new option,JJ NN,elasticsearch,Suggest.java
424,get highlighted,VB VBN,elasticsearch,Suggest.java
425,collate match,VB NN,elasticsearch,Suggest.java
426,set score,VB NN,elasticsearch,Suggest.java
427,inner to x content,NN TO NN NN,elasticsearch,Suggest.java
428,merge into,VB IN,elasticsearch,Suggest.java
429,create query builder,VB NN NN,elasticsearch,SpanTermQueryBuilderTests.java
430,create span term query builders,VB NN NN NN NNS,elasticsearch,SpanTermQueryBuilderTests.java
431,comparator source,NN NN,elasticsearch,BytesBinaryDVIndexFieldData.java
432,load direct,VB NN,elasticsearch,BytesBinaryDVIndexFieldData.java
433,parse elements,VB NNS,elasticsearch,FetchSourceSubPhase.java
434,hits execution needed,VBZ NN VBN,elasticsearch,FetchSourceSubPhase.java
435,hits execute,VBZ VB,elasticsearch,FetchSourceSubPhase.java
436,hit execution needed,VB NN VBN,elasticsearch,FetchSourceSubPhase.java
437,hit execute,VB NN,elasticsearch,FetchSourceSubPhase.java
438,on module,IN NN,elasticsearch,AzureComputeServiceSimpleMock.java
439,flush or close,VB CC VB,elasticsearch,MockEngineSupport.java
440,new searcher,JJ NN,elasticsearch,MockEngineSupport.java
441,wrap reader,VB NN,elasticsearch,MockEngineSupport.java
442,get core cache key,VB JJ NN NN,elasticsearch,MockEngineSupport.java
443,wrap searcher,VB NN,elasticsearch,MockEngineSupport.java
444,max errors,JJ NNS,elasticsearch,PhraseSuggestionContext.java
445,set max errors,VB JJ NNS,elasticsearch,PhraseSuggestionContext.java
446,separator,NN,elasticsearch,PhraseSuggestionContext.java
447,set separator,VB NN,elasticsearch,PhraseSuggestionContext.java
448,realworld error likelyhood,JJ NN NN,elasticsearch,PhraseSuggestionContext.java
449,set real word error likelihood,VB JJ NN NN NN,elasticsearch,PhraseSuggestionContext.java
450,add generator,VB NN,elasticsearch,PhraseSuggestionContext.java
451,generators,NNS,elasticsearch,PhraseSuggestionContext.java
452,set gram size,VB NN NN,elasticsearch,PhraseSuggestionContext.java
453,gram size,NN NN,elasticsearch,PhraseSuggestionContext.java
454,confidence,NN,elasticsearch,PhraseSuggestionContext.java
455,set confidence,VB NN,elasticsearch,PhraseSuggestionContext.java
456,set field,VB NN,elasticsearch,PhraseSuggestionContext.java
457,pre filter,IN NN,elasticsearch,PhraseSuggestionContext.java
458,post filter,IN NN,elasticsearch,PhraseSuggestionContext.java
459,set require unigram,VB VB NN,elasticsearch,PhraseSuggestionContext.java
460,get require unigram,VB VB NN,elasticsearch,PhraseSuggestionContext.java
461,set token limit,VB NN NN,elasticsearch,PhraseSuggestionContext.java
462,get token limit,VB NN NN,elasticsearch,PhraseSuggestionContext.java
463,set pre tag,VB IN NN,elasticsearch,PhraseSuggestionContext.java
464,get pre tag,VB IN NN,elasticsearch,PhraseSuggestionContext.java
465,set post tag,VB IN NN,elasticsearch,PhraseSuggestionContext.java
466,get post tag,VB IN NN,elasticsearch,PhraseSuggestionContext.java
467,get collate query script,VB VB NN NN,elasticsearch,PhraseSuggestionContext.java
468,set collate query script,VB VB NN NN,elasticsearch,PhraseSuggestionContext.java
469,get collate script params,VB VB NN NNS,elasticsearch,PhraseSuggestionContext.java
470,set collate script params,VB VB NN NNS,elasticsearch,PhraseSuggestionContext.java
471,set collate prune,VB VB NN,elasticsearch,PhraseSuggestionContext.java
472,collate prune,VB NN,elasticsearch,PhraseSuggestionContext.java
473,current state,JJ NN,elasticsearch,IllegalIndexShardStateException.java
474,test all ops disabled indexed scripts,VB DT NNS JJ JJ NNS,elasticsearch,IndexedExpressionTests.java
475,parse basic model,VB JJ NN,elasticsearch,DFRSimilarityProvider.java
476,parse after effect,VB IN NN,elasticsearch,DFRSimilarityProvider.java
477,test keep types,VB VB NNS,elasticsearch,KeepTypesFilterFactoryTests.java
478,register prototype,VB NN,elasticsearch,NamedWriteableRegistry.java
479,get prototype,VB NN,elasticsearch,NamedWriteableRegistry.java
480,get script lang,VB NN NN,elasticsearch,PutIndexedScriptResponse.java
481,is created,VBZ VBN,elasticsearch,PutIndexedScriptResponse.java
482,get field data type,VB NN NNS NN,elasticsearch,DuelFieldDataTests.java
483,test duel all types single value,VB NN DT NNS JJ NN,elasticsearch,DuelFieldDataTests.java
484,test duel integers,VB NN NNS,elasticsearch,DuelFieldDataTests.java
485,test duel doubles,VB NN NNS,elasticsearch,DuelFieldDataTests.java
486,test duel strings,VB NN NNS,elasticsearch,DuelFieldDataTests.java
487,test duel global ordinals,VB NN JJ NNS,elasticsearch,DuelFieldDataTests.java
488,test duel geo points,VB NN NN NNS,elasticsearch,DuelFieldDataTests.java
489,test empty,VB NN,elasticsearch,DuelFieldDataTests.java
490,get numbers,VB NNS,elasticsearch,DuelFieldDataTests.java
491,duel field data bytes,NN NN NNS NNS,elasticsearch,DuelFieldDataTests.java
492,duel field data double,NN NN NNS NN,elasticsearch,DuelFieldDataTests.java
493,duel field data long,NN NN NNS NN,elasticsearch,DuelFieldDataTests.java
494,duel field data geo point,NN NN NNS NN NN,elasticsearch,DuelFieldDataTests.java
495,prepare settings,VB NNS,elasticsearch,InternalSettingsPreparer.java
496,prepare environment,VB NN,elasticsearch,InternalSettingsPreparer.java
497,use system properties,VB NN NNS,elasticsearch,InternalSettingsPreparer.java
498,initialize settings,VB NNS,elasticsearch,InternalSettingsPreparer.java
499,finalize settings,VB NNS,elasticsearch,InternalSettingsPreparer.java
500,random node name,JJ NN NN,elasticsearch,InternalSettingsPreparer.java
501,replace prompt placeholders,VB NN NNS,elasticsearch,InternalSettingsPreparer.java
502,prompt for value,NN IN NN,elasticsearch,InternalSettingsPreparer.java
503,test simple add,VB JJ VB,elasticsearch,MultiSearchRequestTests.java
504,test simple add 2,VB JJ VB CD,elasticsearch,MultiSearchRequestTests.java
505,test simple add 3,VB JJ VB CD,elasticsearch,MultiSearchRequestTests.java
506,test simple add 4,VB JJ VB CD,elasticsearch,MultiSearchRequestTests.java
507,test simple add 5,VB JJ VB CD,elasticsearch,MultiSearchRequestTests.java
508,test response error to x content,VB NN NN TO NN NN,elasticsearch,MultiSearchRequestTests.java
509,get fields,VB NNS,elasticsearch,FieldStatsShardRequest.java
510,maximum number of replicas,JJ NN IN NNS,elasticsearch,BroadcastActionsIT.java
511,test broadcast operations,VB NN NNS,elasticsearch,BroadcastActionsIT.java
512,set features,VB NNS,elasticsearch,GetIndexRequestBuilder.java
513,add features,VB NNS,elasticsearch,GetIndexRequestBuilder.java
514,test illegal argument,VB JJ NN,elasticsearch,SpanNotQueryBuilderTests.java
515,test dist,VB NN,elasticsearch,SpanNotQueryBuilderTests.java
516,test pre post,VB IN IN,elasticsearch,SpanNotQueryBuilderTests.java
517,test parse dist,VB VB NN,elasticsearch,SpanNotQueryBuilderTests.java
518,test parser exceptions,VB NN NNS,elasticsearch,SpanNotQueryBuilderTests.java
519,snapshot,NN,elasticsearch,IndexShardRepository.java
520,restore,VB,elasticsearch,IndexShardRepository.java
521,snapshot status,NN NN,elasticsearch,IndexShardRepository.java
522,verify,VB,elasticsearch,IndexShardRepository.java
523,completion stats,NN NNS,elasticsearch,CompletionFieldStats.java
524,assert no stopwords after,VB DT NNS IN,elasticsearch,AnalyzerBackwardsCompatTests.java
525,test pattern analyzer,VB NN NN,elasticsearch,AnalyzerBackwardsCompatTests.java
526,test standard h t m l strip analyzer,VB JJ NN NN NN NN NN NN,elasticsearch,AnalyzerBackwardsCompatTests.java
527,test standard analyzer,VB JJ NN,elasticsearch,AnalyzerBackwardsCompatTests.java
528,increment,NN,elasticsearch,DoubleArray.java
529,fill,VB,elasticsearch,DoubleArray.java
530,documentation,NN,elasticsearch,RestIndicesAction.java
531,do request,VB NN,elasticsearch,RestIndicesAction.java
532,process response,VB NN,elasticsearch,RestIndicesAction.java
533,build response,VB NN,elasticsearch,RestIndicesAction.java
534,get table with header,VB NN IN NN,elasticsearch,RestIndicesAction.java
535,build table,VB NN,elasticsearch,RestIndicesAction.java
536,significantly smaller than single packed ordinals,RB JJR IN JJ JJ NNS,elasticsearch,MultiOrdinals.java
537,ordinals,NNS,elasticsearch,MultiOrdinals.java
538,get ord,VB NN,elasticsearch,MultiOrdinals.java
539,lookup ord,NN NN,elasticsearch,MultiOrdinals.java
540,get value count,VB NN NN,elasticsearch,MultiOrdinals.java
541,do set document,VB VBP NN,elasticsearch,MultiOrdinals.java
542,cardinality,NN,elasticsearch,MultiOrdinals.java
543,ord at,NN IN,elasticsearch,MultiOrdinals.java
544,test bulk index creates mapping,VB NN NN VBZ VBG,elasticsearch,BulkIntegrationIT.java
545,resolve from name,VB IN NN,elasticsearch,PercentilesMethod.java
546,on no longer master,IN DT JJR NN,elasticsearch,ClusterStateTaskListener.java
547,get sum of squares,VB NN IN NNS,elasticsearch,ExtendedStats.java
548,get variance,VB NN,elasticsearch,ExtendedStats.java
549,get std deviation,VB JJ NN,elasticsearch,ExtendedStats.java
550,get std deviation bound,VB JJ NN NN,elasticsearch,ExtendedStats.java
551,get std deviation as string,VB JJ NN IN NN,elasticsearch,ExtendedStats.java
552,get std deviation bound as string,VB JJ NN NN IN NN,elasticsearch,ExtendedStats.java
553,get sum of squares as string,VB NN IN NNS IN NN,elasticsearch,ExtendedStats.java
554,get variance as string,VB NN IN NN,elasticsearch,ExtendedStats.java
555,get count,VB NN,elasticsearch,PercolateStats.java
556,get time in millis,VB NN IN NN,elasticsearch,PercolateStats.java
557,add description,VB NN,intellij-community,ChildrenDescriptionsHolder.java
558,add descriptions,VB NNS,intellij-community,ChildrenDescriptionsHolder.java
559,find description,VB NN,intellij-community,ChildrenDescriptionsHolder.java
560,get descriptions,VB NNS,intellij-community,ChildrenDescriptionsHolder.java
561,get sorted descriptions,VB JJ NNS,intellij-community,ChildrenDescriptionsHolder.java
562,dump descriptions,VB NNS,intellij-community,ChildrenDescriptionsHolder.java
563,test short line,VB JJ NN,intellij-community,LongLineInspectionTest.java
564,test long line,VB JJ NN,intellij-community,LongLineInspectionTest.java
565,test xml long line,VB NNP JJ NN,intellij-community,LongLineInspectionTest.java
566,do test,VB NN,intellij-community,LongLineInspectionTest.java
567,get test data path,VB NN NNS NN,intellij-community,LongLineInspectionTest.java
568,is write action required,VBZ VB NN VBN,intellij-community,LongLineInspectionTest.java
569,get anchor,VB NN,intellij-community,SmartPointerAnchorProvider.java
570,restore element,VB NN,intellij-community,SmartPointerAnchorProvider.java
571,get instance,VB NN,intellij-community,GetterTemplatesManager.java
572,get default templates,VB JJ NNS,intellij-community,GetterTemplatesManager.java
573,read file,VB NN,intellij-community,GetterTemplatesManager.java
574,global scheme change,JJ NN NN,intellij-community,BookmarkManager.java
575,document created,NN VBN,intellij-community,BookmarkManager.java
576,file created,NN VBN,intellij-community,BookmarkManager.java
577,ui settings changed,NNP NNS VBN,intellij-community,BookmarkManager.java
578,edit description,VB NN,intellij-community,BookmarkManager.java
579,check input,VB NN,intellij-community,BookmarkManager.java
580,can close,VB VBP,intellij-community,BookmarkManager.java
581,get component name,VB NN NN,intellij-community,BookmarkManager.java
582,add editor bookmark,VB NN NN,intellij-community,BookmarkManager.java
583,add text bookmark,VB NN NN,intellij-community,BookmarkManager.java
584,get auto description,VB NN NN,intellij-community,BookmarkManager.java
585,add file bookmark,VB NN NN,intellij-community,BookmarkManager.java
586,get valid bookmarks,VB JJ NNS,intellij-community,BookmarkManager.java
587,find editor bookmark,VB NN NN,intellij-community,BookmarkManager.java
588,find file bookmark,VB NN NN,intellij-community,BookmarkManager.java
589,find bookmark for mnemonic,VB NN IN NN,intellij-community,BookmarkManager.java
590,has bookmarks with mnemonics,VBZ VBN IN NNS,intellij-community,BookmarkManager.java
591,remove bookmark,VB NN,intellij-community,BookmarkManager.java
592,read external,VB JJ,intellij-community,BookmarkManager.java
593,write external,NN JJ,intellij-community,BookmarkManager.java
594,move bookmark up,VB NN RP,intellij-community,BookmarkManager.java
595,move bookmark down,VB NN RP,intellij-community,BookmarkManager.java
596,get next bookmark,VB JJ NN,intellij-community,BookmarkManager.java
597,get previous bookmark,VB JJ NN,intellij-community,BookmarkManager.java
598,get bookmarks for document,VB NNS IN NN,intellij-community,BookmarkManager.java
599,set mnemonic,VB NN,intellij-community,BookmarkManager.java
600,colors changed,NNS VBN,intellij-community,BookmarkManager.java
601,before document change,IN NN VB,intellij-community,BookmarkManager.java
602,is duplicate,VBZ JJ,intellij-community,BookmarkManager.java
603,document changed,NN VBN,intellij-community,BookmarkManager.java
604,move declarations out,VB NNS RP,intellij-community,SurroundWithUtil.java
605,need to declare out,VB TO VB RP,intellij-community,SurroundWithUtil.java
606,get range to select,VB NN TO VB,intellij-community,SurroundWithUtil.java
607,indent comment if necessary,JJ NN IN JJ,intellij-community,SurroundWithUtil.java
608,parse traditional for parameter,VB JJ IN NN,intellij-community,ParameterDeclaration.java
609,parse simple parameter,VB JJ NN,intellij-community,ParameterDeclaration.java
610,parse catch parameter,VB VB NN,intellij-community,ParameterDeclaration.java
611,parse optional modifier,VB JJ NN,intellij-community,ParameterDeclaration.java
612,character needs escaping,NN VBZ VBG,intellij-community,RegExpLanguageHost.java
613,supports perl upportsperl5 embedded comments,VBZ NNP FW VBN NNS,intellij-community,RegExpLanguageHost.java
