,sequence,pos,nltk,corenlp,opennlp,spacy,flair
1096,get plugin,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1097,eq,VB,VB,JJ,JJ,NNP,NN
1098,plugin hash code,NN NN NN,VB NN NN,NN NN NN,NN NN NN,VB NN NN,VB NN NN
1099,plugin equals,NN VBZ,NN NNS,NN VBZ,NN VBZ,NN NNS,NN VBZ
1100,dependencies equals,NNS VBZ,NNS VBZ,NNS VBZ,NNS VBZ,NNS VBZ,NNS VBZ
1101,exclusions equals,NNS VBZ,NNS NNS,VB NNS,VB VBZ,NNS VBZ,NNS VBZ
1102,get plugin descriptor for prefix,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN
1103,get plugin definition for prefix,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN
1104,verify plugin,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1105,get plugin component,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1106,get plugin components,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
1107,load plugin descriptor,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1108,load plugin fully,VB NN RB,VB NN RB,VB NN NN,VB NN NN,VB NN RB,VB NN RB
1109,get prefix,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1110,set prefix,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1111,get plugin groups,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
1112,set plugin groups,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
1113,get pom,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1114,set pom,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1115,get repositories,VB NNS,VB NNS,VB NN,VB NNS,VB NNS,VB NNS
1116,set repositories,VB NNS,VB NNS,VB NN,VB NNS,VB NNS,VB NNS
1117,get repository session,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1118,set repository session,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1119,get group id,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN NN,VB NN NN
1120,get artifact id,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN NN,VB NN NN
1121,get repository,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1122,resolve from project,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN
1123,resolve from repository,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN
1124,process results,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1125,invalid metadata,JJ NN,VB NNS,JJ NN,JJ NNS,JJ NNS,JJ NNS
1126,set group id,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN NN,VB NN NN
1127,set artifact id,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN NN,VB NN NN
1128,set repository,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1129,create message,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1130,get exception,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1131,is type compatible,VBZ NN JJ,VBZ NN JJ,VBZ NN JJ,VBZ NN JJ,VBZ NN JJ,VBZ NN JJ
1132,strip tokens,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1133,align to base directory,VB TO NN NN,VB TO NN NN,VB TO NN NN,VB TO NN NN,VB TO NN NN,VB TO NN NN
1134,get plugin descriptor,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1135,check required maven version,VB JJ NN NN,VB JJ JJ NN,VB JJ NN NN,VB JJ NN NN,VB JJ JJ NN,VB JJ NN NN
1136,setup plugin realm,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1137,setup extensions realm,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN
1138,get configured mojo,VB JJ NNP,VB VBN NN,VB VBN NN,VB VBN NN,VB JJ NNS,VB VBN NN
1139,release mojo,VB NNP,VB NN,VB NN,VB NN,VB NNS,VB NN
1140,before mojo execution,IN NNP NN,IN JJ NN,IN NN NN,IN NN NN,IN NNS NN,IN JJ NN
1141,after mojo execution success,IN NNP NN NN,IN JJ NN NN,IN VB NN NN,IN NN NN NN,IN VBN NN NN,IN NN NN NN
1142,after execution failure,IN NN NN,IN NN NN,IN NN NN,IN NN NN,IN NN NN,IN NN NN
1143,set session,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1144,get session,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1145,get descriptor,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1146,get parameters,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1147,decompose parameter into user instructions,VB NN IN NN NNS,VB NN IN NN NNS,VB NN IN NN NN,VB NN IN NN NNS,VB NN IN NN NNS,VB NN IN NN NNS
1148,build diagnostic message,VB JJ NN,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN
1149,execute,VB,VB,VB,VB,VB,VB
1150,get plugin key,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1151,get source,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1152,get execution id,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN NN,VB NN NN
1153,get configuration,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1154,set configuration,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1155,identify,VB,VB,VB,VB,VB,VB
1156,get lifecycle phase,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1157,set lifecycle phase,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1158,set mojo descriptor,VB NNP NN,VB NN NN,VB NN NN,VB NN NN,VB NNS NN,VB NN NN
1159,get forked executions,VB JJ NNS,VB JJ NNS,VB NN NN,VB JJ NNS,VB JJ NNS,VB VBN NNS
1160,set forked executions,VB JJ NNS,VB JJ NNS,VB NN NN,VB JJ NNS,VB JJ NNS,VB VBN NNS
1161,get mojo execution,VB NNP NN,VB JJ NN,VB JJ NN,VB NN NN,VB NNS NN,VB NN NN
1162,construct message,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1163,notify field change using setter,VB NN NN VBG NN,VB NN NN VBG NN,VB NN NN VBG NN,VB NN NN VBG NN,VB NN NN VBG NN,VB NN NN VBG NN
1164,notify field change using reflection,VB NN NN VBG NN,VB NN NN VBG NN,VB NN NN VBG NN,VB NN NN VBG NN,VB NN NN VBG NN,VB NN NN VBG NN
1165,to artifact,TO NN,TO NN,TO NN,TO NN,TO NN,TO NN
1166,resolve core extension,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1167,resolve internal,VB NN,VB JJ,VB JJ,VB JJ,VB JJ,VB JJ
1168,visit enter,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1169,visit leave,VB NN,VB NN,VB NN,VB VB,VB NN,VB NN
1170,remove banned dependencies,VB JJ NNS,VB VBN NNS,VB NN NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS
1171,start process children,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
1172,is legacy core artifact,VBZ JJ JJ NN,VBZ NN JJ NN,VBZ JJ JJ NN,VBZ NN JJ NN,VBZ NN JJ NN,VBZ NN NN NN
1173,end process children,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
1174,include artifact,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1175,is wagon provider,VBZ NN NN,VBZ NN NN,VBZ JJ NN,VBZ NN NN,VBZ JJ NN,VBZ NN NN
1176,manage artifact,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1177,omit for cycle,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN
1178,omit for nearer,VB IN JJ,VB IN NN,VB IN NN,VB IN NN,VB IN NN,NN IN IN
1179,restrict range,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1180,select version from range,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN
1181,test artifact,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1182,update scope,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1183,update scope current pom,VB NN JJ NN,VB NN JJ NN,VB NN JJ NN,VB NN JJ NN,VB NN JJ NN,VB NN JJ NN
1184,get missing parameters,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS
1185,notify,VB,VB,VB,VB,VB,VB
1186,warn deprecated,NN VBN,VB VBN,VB VBN,VB VBN,VB VBN,VB VBN
1187,evaluate value,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1188,validate,VB,VB,VB,VB,VB,VB
1189,extract plugin descriptor,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1190,get plugin descriptor location,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1191,parse plugin descriptor,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1192,create plugin realm,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1193,discover plugin components,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
1194,to aether artifacts,TO NN NNS,TO NN NNS,TO NN NNS,TO NN NNS,TO NN NNS,TO NN NNS
1195,to maven artifacts,TO NN NNS,TO JJ NNS,TO NN NNS,TO NN NNS,TO JJ NNS,TO JJ NNS
1196,calc imports,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1197,populate plugin fields,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
1198,validate parameters,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1199,resolve extension artifacts,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
1200,select dependency,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1201,derive child selector,VB NN NN,JJ NN NN,VB NN NN,JJ NN NN,JJ NN NN,VB NN NN
1202,info,NN,NN,NN,NN,NN,NN
1203,warn,VB,VB,VB,VB,VB,VB
1204,error,NN,NN,NN,NN,NN,NN
1205,is debug enabled,VBZ VB VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN
1206,is info enabled,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN
1207,is warn enabled,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ JJ VBN
1208,is error enabled,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN
1209,assert unique key,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1210,get base message,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1211,set version,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1212,select version,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1213,merge metadata,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1214,get cache,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1215,resolve impl,VB NNP,VB NNP,VB NN,VB NNP,VB NNP,VB NNP
1216,get ignorable artifacts,VB JJ NNS,VB JJ NNS,VB NN NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS
1217,get module file,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1218,get module name,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1219,add excludes,VB VBZ,VB NNS,VB NN,VB NNS,VB NNS,VB VBZ
1220,add core excludes,VB JJ VBZ,VB NN VBZ,VB JJ NN,VB JJ NNS,VB JJ NNS,VB NN VBZ
1221,get mojo failure exception,VB NNP NN NN,VB JJ NN NN,VB NN NN NN,VB NN NN NN,VB NNS NN NN,VB NN NN NN
1222,get project id,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN NN,VB NN NN
1223,get exported artifacts,VB JJ NNS,VB VBN NNS,VB JJ NNS,VB VBN NNS,VB JJ NNS,VB JJ NNS
1224,get exported packages,VB JJ NNS,VB VBN NNS,VB JJ NNS,VB VBN NNS,VB JJ NNS,VB VBN NNS
1225,get class realm,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1226,discover from,VB IN,VB IN,VB IN,VB IN,VB IN,VB IN
1227,get scope,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1228,add scope internal,VB NN JJ,VB NN JJ,VB NN JJ,VB NN NN,VB NN NN,VB NN JJ
1229,include,VB,VB,VB,VB,VB,VB
1230,add scopes,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1231,add scope,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1232,get scopes,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1233,get patterns,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1234,get filters,VB NNS,VB NNS,VB NN,VB NNS,VB NNS,VB NNS
1235,same artifact id,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN NN,JJ NN NN
1236,same group id,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN NN,JJ NN NN
1237,exclude,VB,VB,VB,VB,VB,VB
1238,throw errors,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1239,to list,TO NN,TO NN,TO NN,TO NN,TO NN,TO NN
1240,get artifact,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1241,get dependency trail,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1242,get trail,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1243,is resolved,VBZ VBN,VBZ VBN,VBZ VBN,VBZ JJ,VBZ JJ,VBZ VBN
1244,is child of root node,VBZ NN IN NN NN,VBZ NN IN NN NN,VBZ NN IN NN NN,VBZ NN IN NN NN,VBZ NN IN NN NN,VBZ NN IN NN NN
1245,get children iterator,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN
1246,get depth,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1247,get remote repositories,VB JJ NNS,VB JJ NNS,VB JJ NN,VB JJ NNS,VB JJ NNS,VB JJ NNS
1248,enable,VB,VB,VB,VB,VB,VB
1249,disable,VB,VB,VB,VB,VB,VB
1250,filter trail,VB NN,NN NN,NN NN,NN NN,VB NN,NN NN
1251,set artifact,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1252,set artifact dependencies,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
1253,get artifact dependencies,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
1254,get local repository,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1255,set local repository,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1256,set remote repositories,VB JJ NNS,VB JJ NNS,VB JJ NN,VB JJ NNS,VB JJ NNS,VB JJ NNS
1257,get collection filter,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1258,set collection filter,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1259,get resolution filter,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1260,set resolution filter,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1261,get listeners,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1262,set listeners,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1263,add listener,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1264,get managed version map,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB VBN NN NN,VB VBN NN NN
1265,set managed version map,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB VBN NN NN,VB VBN NN NN
1266,set resolve root,VB NN NN,VB VB NN,VB NN NN,VB NN NN,VB VB NN,VB NN NN
1267,is resolve root,VBZ NN NN,VBZ JJ NN,VBZ NN NN,VBZ NN NN,VBZ JJ NN,VBZ NN NN
1268,set resolve transitively,VB NN RB,VB VB RB,VB NN NN,VB NN NN,VB VB NNS,VB NN RB
1269,is resolve transitively,VBZ NN RB,VBZ VB RB,VBZ NN NN,VBZ NN NN,VBZ VBN NNS,VBZ NN JJ
1270,is offline,VBZ JJ,VBZ NN,VBZ NN,VBZ NN,VBZ JJ,VBZ JJ
1271,set offline,VB JJ,VB NN,VB NN,VB NN,VB NN,VB NN
1272,is force update,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN
1273,set force update,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1274,set servers,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1275,get servers,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1276,set mirrors,VB NNS,VB NNS,VB NN,VB NNS,VB NNS,VB NNS
1277,get mirrors,VB NNS,VB NNS,VB NN,VB NNS,VB NNS,VB NNS
1278,set proxies,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1279,get proxies,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1280,set cache,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1281,get originating artifact,VB VBG NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB VBG NN
1282,set originating artifact,VB VBG NN,VB VBG NN,VB NN NN,VB JJ NN,VB NN NN,VB VBG NN
1283,add artifact,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1284,set artifacts,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1285,get artifact resolution nodes,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS
1286,set artifact resolution nodes,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS
1287,has missing artifacts,VBZ JJ NNS,VBZ JJ NNS,VBZ JJ NNS,VBZ VBG NNS,VBZ JJ NNS,VBZ JJ NNS
1288,get missing artifacts,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS
1289,add missing artifact,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1290,set unresolved artifacts,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS
1291,is success,VBZ NN,VBZ NN,VBZ NN,VBZ NN,VBZ NN,VBZ NN
1292,has exceptions,VBZ NNS,VBZ NNS,VBZ NNS,VBZ NNS,VBZ NNS,VBZ NNS
1293,get exceptions,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1294,has version range violations,VBZ NN NN NNS,VBZ NN NN NNS,VBZ NN NN NNS,VBZ NN NN NNS,VBZ NN NN NNS,VBZ NN NN NNS
1295,add version range violation,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1296,get version range violation,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1297,get version range violations,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS
1298,has metadata resolution exceptions,VBZ NNS NN NNS,VBZ JJ NN NNS,VBZ NN NN NNS,VBZ NN NN NNS,VBZ NNS NN NNS,VBZ NN NN NNS
1299,add metadata resolution exception,VB NNS NN NN,VB NNS NN NN,VB NN NN NN,VB NNS NN NN,VB NNS NN NN,VB NNS NN NN
1300,get metadata resolution exception,VB NNS NN NN,VB JJ NN NN,VB NN NN NN,VB NNS NN NN,VB NNS NN NN,VB NN NN NN
1301,get metadata resolution exceptions,VB NNS NN NNS,VB JJ NN NNS,VB NN NN NNS,VB NNS NN NNS,VB NNS NN NNS,VB NN NN NNS
1302,has error artifact exceptions,VBZ NN NN NNS,VBZ NN NN NNS,VBZ NN NN NNS,VBZ NN NN NNS,VBZ NN NN NNS,VBZ NN NN NNS
1303,add error artifact exception,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1304,get error artifact exceptions,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS
1305,has circular dependency exceptions,VBZ JJ NN NNS,VBZ JJ NN NNS,VBZ NN NN NNS,VBZ NN NN NNS,VBZ JJ NN NNS,VBZ JJ NN NNS
1306,add circular dependency exception,VB JJ NN NN,VB JJ NN NN,VB NN NN NN,VB NN NN NN,VB JJ NN NN,VB JJ NN NN
1307,get circular dependency exception,VB JJ NN NN,VB JJ NN NN,VB NN NN NN,VB NN NN NN,VB JJ NN NN,VB JJ NN NN
1308,get circular dependency exceptions,VB JJ NN NNS,VB JJ NN NNS,VB NN NN NNS,VB NN NN NNS,VB JJ NN NNS,VB JJ NN NNS
1309,init list,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1310,get artifact handler,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1311,add handlers,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1312,get handler types,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
1313,set extension,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1314,get classifier,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1315,set classifier,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1316,get directory,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1317,set directory,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1318,get packaging,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1319,set packaging,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1320,is includes dependencies,VBZ VBZ NNS,VBZ VBZ NNS,VBZ VBZ NNS,VBZ VBZ NNS,VBZ VBZ NNS,VBZ VBZ NNS
1321,set includes dependencies,VB VBZ NNS,VB VBZ NNS,VB VBZ NNS,VB VBZ NNS,VB NNS NNS,VB VBZ NNS
1322,get language,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1323,set language,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1324,is added to classpath,VBZ VBN TO NN,VBZ VBN TO NN,VBZ VBN TO NN,VBZ VBN TO NN,VBZ VBN TO NN,VBZ VBN TO NN
1325,set added to classpath,VB VBD TO NN,VB VBN TO NN,VB VBN TO NN,VB VBN TO NN,VB VBN TO NN,VB VBN TO NN
1326,get repository id,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN NN,VB NN NN
1327,retrieve,VB,VB,VB,VB,VB,VB
1328,retrieve available versions,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS
1329,retrieve available versions from deployment repository,VB JJ NNS IN NN NN,VB JJ NNS IN NN NN,VB JJ NNS IN NN NN,VB JJ NNS IN NN NN,VB JJ NNS IN NN NN,VB JJ NNS IN NN NN
1330,overlay,VB,VB,VB,VB,JJ,VB
1331,get path for local artifact,VB NN IN JJ NN,VB NN IN JJ NN,VB NN IN JJ NN,VB NN IN JJ NN,VB NN IN JJ NN,VB NN IN JJ NN
1332,get path for remote artifact,VB NN IN JJ NN,VB NN IN JJ NN,VB NN IN JJ NN,VB NN IN JJ NN,VB NN IN JJ NN,VB NN IN JJ NN
1333,get path for local metadata,VB NN IN JJ NNS,VB NN IN JJ NN,VB NN IN JJ NN,VB NN IN JJ NNS,VB NN IN JJ NNS,VB NN IN JJ NNS
1334,get path for remote metadata,VB NN IN JJ NNS,VB NN IN JJ NN,VB NN IN JJ NN,VB NN IN JJ NNS,VB NN IN JJ NNS,VB NN IN JJ NNS
1335,find,VB,VB,VB,VB,VB,VB
1336,stored in artifact version directory,VBN IN NN NN NN,VBN IN JJ NN NN,VBN IN NN NN NN,VBN IN NN NN NN,VBN IN NN NN NN,VBN IN NN NN NN
1337,stored in group directory,VBN IN NN NN,VBN IN NN NN,VBN IN NN NN,VBN IN NN NN,VBN IN NN NN,VBN IN NN NN
1338,get base version,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1339,nullify,VB,VB,VB,VB,VB,NN
1340,get remote filename,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1341,get local filename,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1342,insert repository key,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1343,merge,VB,VB,VB,VB,VB,VB
1344,store in local repository,VB IN JJ NN,NN IN JJ NN,NN IN JJ NN,NN IN JJ NN,VB IN JJ NN,NN IN JJ NN
1345,extended to string,VBN TO NN,VBN TO NN,JJ TO NN,JJ TO NN,JJ TO NN,VBN TO NN
1346,path of,NN IN,NN IN,NN IN,NN IN,NN IN,NN IN
1347,path of remote repository metadata,NN IN JJ NN NNS,NN IN JJ NN NN,NN IN JJ NN NNS,NN IN JJ NN NN,NN IN JJ NN NNS,NN IN JJ NN NNS
1348,path of local repository metadata,NN IN JJ NN NNS,NN IN JJ NN NN,NN IN JJ NN NNS,NN IN JJ NN NN,NN IN JJ NN NNS,NN IN JJ NN NNS
1349,get url,VB NNP,VB NNP,VB NNP,VB NNP,VB NNP,VB NNP
1350,set url,VB NNP,VB NNP,VB NNP,VB NNP,VB NNP,VB NNP
1351,get basedir,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1352,get protocol,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1353,get id,VB NN,VB NN,VB NN,VB NN,VB NN NN,VB NN
1354,set id,VB NN,VB NN,VB NN,VB NN,VB NN NN,VB NN
1355,get snapshots,VB NNS,VB NNS,VB NN,VB JJ,VB NNS,VB NNS
1356,set snapshot update policy,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1357,get releases,VB NNS,VB NNS,VB NN,VB NNS,VB NNS,VB NNS
1358,set release update policy,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1359,get layout,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1360,set layout,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1361,is unique version,VBZ JJ NN,VBZ JJ NN,VBZ JJ NN,VBZ JJ NN,VBZ JJ NN,VBZ JJ NN
